Index,Último,,,,,,,,,,,,,,,
334,16.64,,,,,,,,,,,,,,,
335,16.79,,,,,,,,,,,,,,,
336,16.68,,,,,,,,,,,,,,,
337,16.95,,,,,,,,,,,,,,,
338,16.85,,,,,,,,,,,,,,,
339,17.32,,,,,,,,,,,,,,,
340,17.81,,,,,,,,,,,,,,,
341,18.2,,,,,,,,,,,,,,,
342,17.72,,,,,,,,,,,,,,,
343,17.69,,,,,,,,,,,,,,,
344,18.02,,,,,,,,,,,,,,,
345,18.14,,,,,,,,,,,,,,,
346,18.33,,,,,,,,,,,,,,,
347,18.36,,,,,,,,,,,,,,,
348,18.31,,,,,,,,,,,,,,,
349,18.22,,,,,,,,,,,,,,,
350,17.33,,,,,,,,,,,,,,,
351,17.58,,,,,,,,,,,,,,,
352,16.98,,,,,,,,,,,,,,,
353,16.82,,,,,,,,,,,,,,,
354,17.97,,,,,,,,,,,,,,,
355,17.79,,,,,,,,,,,,,,,
356,17.75,,,,,,,,,,,,,,,
357,17.92,,,,,,,,,,,,,,,
358,16.86,,,,,,,,,,,,,,,
359,17.32,,,,,,,,,,,,,,,
360,16.61,,,,,,,,,,,,,,,
361,16.09,,,,,,,,,,,,,,,
362,15.99,,,,,,,,,,,,,,,
363,16.16,,,,,,,,,,,,,,,
364,16.48,,,,,,,,,,,,,,,
365,16.35,,,,,,,,,,,,,,,
366,16.36,,,,,,,,,,,,,,,
367,16.7,,,,,,,,,,,,,,,
368,16.87,,,,,,,,,,,,,,,
369,16.44,,,,,,,,,,,,,,,
370,16.42,,,,,,,,,,,,,,,
371,16.15,,,,,,,,,,,,,,,
372,16.31,,,,,,,,,,,,,,,
373,17.2,,,,,,,,,,,,,,,
374,17.55,,,,,,,,,,,,,,,
375,18.33,,,,,,,,,,,,,,,
376,17.61,,,,,,,,,,,,,,,
377,18.23,,,,,,,,,,,,,,,
378,18.21,,,,,,,,,,,,,,,
379,18.31,,,,,,,,,,,,,,,
380,19.01,,,,,,,,,,,,,,,
381,19.28,,,,,,,,,,,,,,,
382,19.36,,,,,,,,,,,,,,,
383,19.68,,,,,,,,,,,,,,,
384,19.67,,,,,,,,,,,,,,,
385,19.63,,,,,,,,,,,,,,,
386,19.87,,,,,,,,,,,,,,,
387,19.75,,,,,,,,,,,,,,,
388,19.52,,,,,,,,,,,,,,,
389,19.64,,,,,,,,,,,,,,,
390,19.9,,,,,,,,,,,,,,,
391,19.43,,,,,,,,,,,,,,,
392,18.87,,,,,,,,,,,,,,,
393,18.9,,,,,,,,,,,,,,,
394,18.87,,,,,,,,,,,,,,,
395,18.99,,,,,,,,,,,,,,,
396,19.27,,,,,,,,,,,,,,,
397,19.29,,,,,,,,,,,,,,,
398,19.13,,,,,,,,,,,,,,,
399,19.07,,,,,,,,,,,,,,,
400,19.5,,,,,,,,,,,,,,,
401,19.57,,,,,,,,,,,,,,,
402,18.81,,,,,,,,,,,,,,,
403,18.8,,,,,,,,,,,,,,,
404,18.89,,,,,,,,,,,,,,,
405,18.77,,,,,,,,,,,,,,,
406,19.33,,,,,,,,,,,,,,,
407,19.92,,,,,,,,,,,,,,,
408,20.32,,,,,,,,,,,,,,,
409,21.08,,,,,,,,,,,,,,,
410,21.11,,,,,,,,,,,,,,,
411,21.21,,,,,,,,,,,,,,,
412,21.11,,,,,,,,,,,,,,,
413,21.26,,,,,,,,,,,,,,,
414,21.29,,,,,,,,,,,,,,,
415,21.41,,,,,,,,,,,,,,,
416,22.11,,,,,,,,,,,,,,,
417,22.7,,,,,,,,,,,,,,,
418,22.71,,,,,,,,,,,,,,,
419,21.81,,,,,,,,,,,,,,,
420,21.68,,,,,,,,,,,,,,,
421,22.12,,,,,,,,,,,,,,,
422,21.8,,,,,,,,,,,,,,,
423,21.49,,,,,,,,,,,,,,,
424,21.87,,,,,,,,,,,,,,,
425,21.55,,,,,,,,,,,,,,,
426,21.33,,,,,,,,,,,,,,,
427,21.41,,,,,,,,,,,,,,,
428,21.74,,,,,,,,,,,,,,,
429,22.63,,,,,,,,,,,,,,,
430,22.12,,,,,,,,,,,,,,,
431,21.77,,,,,,,,,,,,,,,
432,22.07,,,,,,,,,,,,,,,
433,21.98,,,,,,,,,,,,,,,
434,22.12,,,,,,,,,,,,,,,
435,22.69,,,,,,,,,,,,,,,
436,22.61,,,,,,,,,,,,,,,
437,22.94,,,,,,,,,,,,,,,
438,22.38,,,,,,,,,,,,,,,
439,22.79,,,,,,,,,,,,,,,
440,23.24,,,,,,,,,,,,,,,
441,22.95,,,,,,,,,,,,,,,
442,22.94,,,,,,,,,,,,,,,
443,21.31,,,,,,,,,,,,,,,
444,21.76,,,,,,,,,,,,,,,
445,21.82,,,,,,,,,,,,,,,
446,22.59,,,,,,,,,,,,,,,
447,21.78,,,,,,,,,,,,,,,
448,21.36,,,,,,,,,,,,,,,
449,20.84,,,,,,,,,,,,,,,
450,20.66,,,,,,,,,,,,,,,
451,20.11,,,,,,,,,,,,,,,
452,20.52,,,,,,,,,,,,,,,
453,21.29,,,,,,,,,,,,,,,
454,21.19,,,,,,,,,,,,,,,
455,21.48,,,,,,,,,,,,,,,
456,21.73,,,,,,,,,,,,,,,
457,21.65,,,,,,,,,,,,,,,
458,21.18,,,,,,,,,,,,,,,
459,21.65,,,,,,,,,,,,,,,
460,22.11,,,,,,,,,,,,,,,
461,22.42,,,,,,,,,,,,,,,
462,22.12,,,,,,,,,,,,,,,
463,21.92,,,,,,,,,,,,,,,
464,21.71,,,,,,,,,,,,,,,
465,21.69,,,,,,,,,,,,,,,
466,22.81,,,,,,,,,,,,,,,
467,22.93,,,,,,,,,,,,,,,
468,22.75,,,,,,,,,,,,,,,
469,22.69,,,,,,,,,,,,,,,
470,23.17,,,,,,,,,,,,,,,
471,22.85,,,,,,,,,,,,,,,
472,22.45,,,,,,,,,,,,,,,
473,23.13,,,,,,,,,,,,,,,
474,23.24,,,,,,,,,,,,,,,
475,22.33,,,,,,,,,,,,,,,
476,22,,,,,,,,,,,,,,,
477,21.97,,,,,,,,,,,,,,,
478,21.97,,,,,,,,,,,,,,,
479,22.11,,,,,,,,,,,,,,,
480,22.13,,,,,,,,,,,,,,,
481,21.91,,,,,,,,,,,,,,,
482,22.1,,,,,,,,,,,,,,,
483,23.43,,,,,,,,,,,,,,,
484,23.39,,,,,,,,,,,,,,,
485,24.16,,,,,,,,,,,,,,,
486,23.5,,,,,,,,,,,,,,,
487,23.7,,,,,,,,,,,,,,,
488,24.53,,,,,,,,,,,,,,,
489,24.72,,,,,,,,,,,,,,,
490,25.04,,,,,,,,,,,,,,,
491,25.29,,,,,,,,,,,,,,,
492,24.96,,,,,,,,,,,,,,,
493,24.55,,,,,,,,,,,,,,,
494,24.97,,,,,,,,,,,,,,,
495,25.45,,,,,,,,,,,,,,,
496,26.45,,,,,,,,,,,,,,,
497,25.73,,,,,,,,,,,,,,,
498,26.1,,,,,,,,,,,,,,,
499,26.16,,,,,,,,,,,,,,,
500,24.92,,,,,,,,,,,,,,,
501,24.42,,,,,,,,,,,,,,,
502,24.48,,,,,,,,,,,,,,,
503,24.44,,,,,,,,,,,,,,,
504,24.23,,,,,,,,,,,,,,,
505,24.66,,,,,,,,,,,,,,,
506,24.67,,,,,,,,,,,,,,,
507,24.97,,,,,,,,,,,,,,,
508,24.84,,,,,,,,,,,,,,,
509,24.49,,,,,,,,,,,,,,,
510,24.14,,,,,,,,,,,,,,,
511,23.83,,,,,,,,,,,,,,,
512,24.1,,,,,,,,,,,,,,,
513,23.68,,,,,,,,,,,,,,,
514,22.24,,,,,,,,,,,,,,,
515,22.49,,,,,,,,,,,,,,,
516,22.04,,,,,,,,,,,,,,,
517,21.98,,,,,,,,,,,,,,,
518,21.57,,,,,,,,,,,,,,,
519,21.41,,,,,,,,,,,,,,,
520,22.78,,,,,,,,,,,,,,,
521,23.07,,,,,,,,,,,,,,,
522,22.87,,,,,,,,,,,,,,,
523,22.74,,,,,,,,,,,,,,,
524,23.23,,,,,,,,,,,,,,,
525,23.73,,,,,,,,,,,,,,,
526,22.82,,,,,,,,,,,,,,,
527,22.53,,,,,,,,,,,,,,,
528,23.19,,,,,,,,,,,,,,,
529,23.45,,,,,,,,,,,,,,,
530,23.34,,,,,,,,,,,,,,,
531,22.99,,,,,,,,,,,,,,,
532,23,,,,,,,,,,,,,,,
533,22.38,,,,,,,,,,,,,,,
534,22.77,,,,,,,,,,,,,,,
535,23.29,,,,,,,,,,,,,,,
536,23.76,,,,,,,,,,,,,,,
537,23.75,,,,,,,,,,,,,,,
538,23.63,,,,,,,,,,,,,,,
539,23.88,,,,,,,,,,,,,,,
540,25,,,,,,,,,,,,,,,
541,25.25,,,,,,,,,,,,,,,
542,25.53,,,,,,,,,,,,,,,
543,26.29,,,,,,,,,,,,,,,
544,27.81,,,,,,,,,,,,,,,
545,27.43,,,,,,,,,,,,,,,
546,27.55,,,,,,,,,,,,,,,
547,27.59,,,,,,,,,,,,,,,
548,27.86,,,,,,,,,,,,,,,
549,28.39,,,,,,,,,,,,,,,
